utt_id,text,context,speaker,show,label,split
2_279,Sounds like she has got the whole package!,"How was your date with Ginger. Great. It was great. She is , uh, she is great, great looking, great personality, she is greatness",MONICA,FRIENDS,1,train
2_540,Okay?,"I don't know. But hey, I know we can decide. Okay, I'm gonna ask you questions and you answer real quick.",JOEY,FRIENDS,0,train
1_3545,"I understand your point, but given a choice, Jews always go with Chinese food.","There's a 39.95 lover's special at P.F. Chang's. Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?",HOWARD,BBT,1,train
2_534,"Oh, come on!","When did I say you were boring?! Oh my God, I remember now! We were playing chess! Phoebe! You and I have",PHOEBE,FRIENDS,0,train
2_388,"Yeah, she couldn't live without the Chan Love.","Hey Pheebs! Ohh! You made up! Yeah, I couldn't be mad at him for too long.",CHANDLER,FRIENDS,0,train
1_2216,"Excuse me, but what about me? Why don't I get a shot?","Unlike you, I can actually talk to women when I'm sober. You fail to take into account that even mute, I am foreign and exotic, while you, on the other hand, are frail and pasty. You know the old saying, ""Pasty and frail never fail.""",LEONARD,BBT,0,train
1_1678,Answering the question once and for all why Wolowitz bailed out of medical school.,Can you open this for me? Can I see your stitches? Sure.,RAJ,BBT,0,train
1_5571,"Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.","The backwash into this glass is every pathogen that calls your mouth home, sweet home. Not to mention the visitors who arrive on the dancing tongue of your subtropical girlfriend. Hey! That's my sister and my country you're talking about. Leonard may have defiled one, but I won't have you talking smack about the other. You guys ready to order?",SHELDON,BBT,1,train
1_2354,"So? Do cocaine smugglers write ""cocaine"" on the box?","They're here. Stay calm. We don't know anything about them yet. What are you doing? I'm checking for musical instruments. Does that sound like castanets to you? The box says ""kitchen.""",SHELDON,BBT,1,train
2_51,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio","That's the rule. What rule? There's no rule, if anything, you owe me a table! How'd you get to that?",CHANDLER,FRIENDS,0,train
2_13,"All right, let's do it.","Rachel, I have not missed one question the whole game. I own this game! Look at my hand. Why? Do you have the answers written on there? No! Steady as a rock! Now, are you with me.",RACHEL,FRIENDS,0,train
2_552,DANGER,I don't like sitting up here! I'm just gonna over No Rachel! They got here first! Why is Ross doing that?,ROSS,FRIENDS,0,train
2_172,The whole thing! Can we go?,"You liked it? You really liked it? Oh-ho-ho, yeah! Which part exactly?",CHANDLER,FRIENDS,1,train
2_550,All right I'll have one.,"I will have one. Okay, I'm not gonna have one. No, no, it's just my tooth.",CHANDLER,FRIENDS,1,train
2_491,"Let me think! Let me think! Oh, I don't care.",The wheel or pick a Google card.,CHANDLER,FRIENDS,1,train
1_4286,"All right, all right. He can buy his own desk.","and a super executive ant farm with glow-in-the-dark sand? - What if he buys his own desk? Yeah, what if I buy my own desk? - That's ridiculous. - Why? Because… Yes? It's my office.",SHELDON,BBT,0,train
2_358,"I do not always have to be,okay, okay.","No you do,y'know what, you're not gonna suck me into this. Oh sure I am, because you always have to be right.",ROSS,FRIENDS,0,train
1_507,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.","I promised my mother. I suppose you could have your android penis circumcised. But that's something your rabbi would have to discuss with the manufacturer. Not to mention you'd have to power down on saturdays. Sheldon, why is this letter in the trash?",SHELDON,BBT,1,train
1_7641,"She was just so sad all the time. Yeah, I was the only person who could cheer her up. Well, me and Ben and Jerry.","You are now the only woman in my life who I'll see naked in the bathroom. I know this wasn't easy.
You doing okay? Oh, I'm fine.
It's just her I'm worried about. Aw, she'll be okay.
She's a grown woman. I know. 
It's just ever since my dad left, I've felt responsible for her. That's a lot for a kid to deal with.",HOWARD,BBT,0,train
2_373,I was making a coconut phone with a professor.,Where the hell have you been?,CHANDLER,FRIENDS,1,train
2_306,"No, no no, I just mediate the gorup. I just give up every Tuesday of my life to help these screwups for the good of my health",Sarcasmholic yourself?,MODERATOR,SARCASMOHOLICS,1,train
1_6065,"Frankly, Mom, I'm encouraged to see how advanced your group has become-- willing to sail out into the ocean without fear of falling off the edge.","All-you-can-eat Last Supper Buffet. 
And my personal favorite, Gunning with God. What's Gunning with God? I'm afraid to ask. Oh, it is a hoot and a half. You write your sins on a clay pigeon, they fire 'em up in the air, and you pulverize them with a 12-gauge shotgun full of our Lord's forgiveness.",SHELDON,BBT,1,train
2_392,Ah you see perfect might be a problem. Had you said co-dependent or self-destructive.,Because I met somebody who would be perfect for you.,CHANDLER,FRIENDS,1,train
2_88,Oh.,"Hi! What are you doing here? Ah y'know, this building is on my paper route so I...",RACHEL,FRIENDS,0,train
2_78,"I didn't know you and Carol were getting divorced, I'm sorry.","Honey, you remember my boss Doug right? Yes, hi. Hi. So good news, the divorce is final. I signed the papers this A.M.",CHANDLER,FRIENDS,0,train
2_250,"Oh, you say someone's name enough, they turn around.","David who? David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David! Oh my God!",PHOEBE,FRIENDS,1,train
2_357,"Stating the obvious, but thank you. And it's not weird is it.","Yes. Great, let's begin.  How's the pressure? Nice! Wow Phoebe you are good!",PHOEBE,FRIENDS,1,train
2_231,"No, no, no, it's flattery.","Aren't you with that girl over there? Well, yeah, kinda. Um, but that's okay, see we have an understanding, um, see we each have this list of five famous people, so I'm allowed to sleep with you.",ROSS,FRIENDS,0,train
1_1772,"""Dave."" Sounds like Leonard's got a new BFF.","There are always do-overs when my people play sports. Where were you that's more important than Wii bowling night? Actually... It's rhetorical.
There is nothing more important than Wii bowling night. Come on, it's just a video game. And we suck at it. Nice motivational speech from the team captain. Where were you?",HOWARD,BBT,1,train
2_295,Nobody sees the king!,"Yeah, I talked to you on the phone, I'm the lady that got stuck with the racecar bed. Look, it's like I told you, there's nothing I can do. You signed for it, Monica Velula Geller. All right, Jester man, look we wanna see the king.",PERSON,FRIENDS,0,train
2_429,"I really, really enjoyed it. Very exotic.","Ha-ha, it's not my baby, ha-ha-ha! Very good,  so good.",PHOEBE,FRIENDS,1,train
2_608,"You are right, by saying nice, I am virtually licking her.","Did I go to this school? Hey, there's Missy Goldberg. You gotta remember her. Sure, nice. Dude. You're married to my sister.",CHANDLER,FRIENDS,1,train
1_1484,The big deal is that nobody touches food on my plate.,"Who touched my… Penny! Penny did it. Why would you do that? I don't know. I was hungry?
What's the big deal?",SHELDON,BBT,0,train
2_426,"Are you kidding? I love that guy!  Morning's here! Morning is here,",HEY!! Do you Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here! I,JOEY,FRIENDS,0,train
1_5058,"An entire dinner to talk about your research? Where you going, the drive-thru at Jack in the Box?","Yes, I live with him.
I don't... I-I really don't know why. Tonight? Sure, that'd be great. Okay, I'll see you then. Bye. She wants to have dinner and talk about my research.",SHELDON,BBT,1,train
1_7449,"Okay, the NASA Web site says Howard's final descent has begun.","or Leonard's gym membership. We're not kicking him out. 
Stuart and I have become good friends. Okay, one vote for, one vote against.
Leonard, you're the tiebreaker. I don't have a problem with Stuart.
Besides, he gives us a 20% discount at his comic book store. Well, I don't sell my friendship that cheaply. I can go 30. Welcome aboard, old chum.",RAJ,BBT,0,train
1_10977,Let's not talk about this in front of our friends.,"Like what? Your incomplete set of <i>Star Trek</i> collector plates? For your information, I just bought the last one I needed on eBay. Without asking me? There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home. How much, Howie? Not a lot. How much?",HOWARD,BBT,0,train
1_10857,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was, and I may have made it seem like a bigger deal than I should have. Yeah, and Leonard and I are engaged now, and I'm just hoping we can put this whole thing behind us. Mm. I'd like that, too. Yeah, I thought I'd be okay with it, but then I saw how pretty you are. Oh, that's so sweet.
I mean, look at you-- you are gorgeous.",RAJ,BBT,0,train
1_9087,"Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite.","Yup, oh... here you go. Oh, thank you. Here, get yourself an eraser for your troubles. Oh-ho.
I forgot about this. 
My aunt made it for me when I started college. Aw, did she hate you?",LEONARD,BBT,1,train
1_2819,"You know, I've always wanted to go to a Goth nightclub.","Howard, what did you do? They're called tattoo sleeves. Look. I got them online. Raj got a set, too. Fantastic, right? Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery.",SHELDON,BBT,1,train
1_5679,"I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.",the organism responsible for Michelob Lite. Is there something wrong with your neck? It's a little stiff. What a remarkably fragile structure to support such a valuable payload. Not unlike balancing a Faberge egg on a Pixie Stick. Have you considered massage?,SHELDON,BBT,1,train
2_369,"I just have to do one thing, really quickly, its not a big thing  ...  GET UP||","Get up What? You're in my seat How is it your seat? Cause I was sitting there But then you left But its not like I went to Spain, I went to the bathroom , you knew I was coming back. Whats the big deal? The big deal is that I was sitting there last, so.. that's my seat Actually, the last place you were sitting was in there You guys, you know what? it doesn't matter. Because you both have to go get dressed before the big vein in my head pops!",CHANDLER,FRIENDS,1,train
2_225,"I don't know, something girlie.","Really, I, no, I think girls night out is a great idea. Okay, okay, bye So what are they doing?",ROSS,FRIENDS,0,train
2_420,"No you are not Chandler, we still love you Chandler","Okay you are right, I am in love with Joey's girlfriend. What? How is that possible? You barely know her. I don't know. I can't . I just, I can't get her out of my head you know. I am a very bad person. I am a horrible person.",CHANDLER,FRIENDS,1,train
1_5880,"When you're done copping a feel, that goes on my wrist.","Oh, sweetie, guests don't normally wear corsages to a wedding. 
That's more of a prom thing. I never went to my prom. 
My mom paid my cousin to take me, but he just used the money to buy drugs. Put the corsage on her. When you're done copping a feel, that goes on my wrist.",AMY,BBT,1,train
2_514,What's going on?!  That's what's going on!!,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me. All right that's, that's it!! Get off her! What is going on?",ROSS,FRIENDS,0,train
2_148,"Hey, that's Joincidence with a C",You know what I just realized? Joker is poker with a J. Coincidence?,CHANDLER,FRIENDS,1,train
2_30,So how'd it go?,Yeah. He could row like a viking. Hi.,ROSS,FRIENDS,0,train
1_1470,I don't know. It just died. I'm getting a bunch of static.,"Hey, guys, I need to use your TV. What's wrong with your TV?",PENNY,BBT,0,train
2_323,That monkey has got a Ross on its ass!,Hey!,CHANDLER,FRIENDS,1,train
1_5964,Smart. Whisper so the deaf chick can't hear you.,"Wow. You're engaged to my friend. Hey, Bernadette doesn't mind where I get my motor running, as long as I park in the right garage. I can't believe you're engaged to my friend.",HOWARD,BBT,1,train
1_10496,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!","And not the good Amazon with one-day shipping.
The awful one with birds and snakes. You hate the sound of all those keys on his key chain. Four keys!
Who does he think he is, a warden? See? Maybe you'll love living alone. I don't know. Perhaps. And if it turns out you don't...",SHELDON,BBT,1,train
1_3840,"I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing beverage, it's serotonin. Bye-bye.","Ah…I do so love beverages. Now I think I'll take my after-dinner walk. Since when do you take after-dinner walks? Yeah, since when do you take walks?",SHELDON,BBT,0,train
1_6188,"Oh, my God, that's where I know you from.","Yeah, sure, come on in. Thanks. Want some mac and cheese? No. Lactose. Gas. Glass of wine? No. Sulfites. Migraines. Okay, well, I'd offer you Halloween candy, but that's gone. So, what's up? Okay, we used to go out, right?",PENNY,BBT,1,train
1_5109,"Yeah, but you were just sleeping, because I forboded you to have sex.","That's very nice of you, but I made other plans. Well, just keep in mind that should you ever need a slightly apathetic tertiary friend, I stand at the ready. Hi, Howard. Hi, Sheldon. Hello. Hey. Why are you holding hands? I forbid you to hold hands. Rajesh, you know Leonard and I spent the night together.",RAJ,BBT,0,train
1_11378,Are you sure a dummy like me can handle something as complicated as a blanket?,"Okay. On the count of three, I'll shoot the fire extinguisher and get him airborne. Howard, you wave the blanket and guide him towards the exit. Raj, you hold open the curtain so he can fly out.",HOWARD,BBT,1,train
1_2361,Thank you so much for giving me the opportunity to help.,Thanks so much for helping me.,LEONARD,BBT,0,train
2_479,No I am worried she might be Phir Resuda's,Just keep thinking about Ma and whose mother she really is. You worried she might be Gina's?,DOROTHY,GOLDENGIRLS,1,train
2_317,"Ah, oh, hang on a second. Come in, come in. All right, so think about it, and call me back.","It has umm, three beautiful bedrooms and ah, no baths. But y'know, the ocean is right there. Knock, knock, knock.",PERSON,FRIENDS,0,train
1_5580,"Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.","I was thinking of weaving it into her eulogy. Howard, you've got to tell your mother. Hey, have you told your parents you're dating this short glass of skim milk here? Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children.",HOWARD,BBT,1,train
1_7400,"Of course, it is... it's been in the news. And it's a very famous boson.","There are some charts in the back where I kept track of shape, color and consistency. Disgusting. No, what's disgusting is he's still keeping track. Why do you need all this stuff...? No, no, no, no... Sorry! I am glad you asked. Yeah, are you familiar with the Higgs boson?",PENNY,BBT,0,train
2_20,My duties?  All right.,You must've had your hands full That I did. That I did. So let's talk a little bit about your duties.,CHANDLER,FRIENDS,0,train
2_289,"Nooo! No, that's not true. No, best time ever! Yeah, you rocked my world!",Do you know what just happened? Yeah. We-we had sex and then we fell asleep. No. We were in the middle of sex .. and,MONICA,FRIENDS,1,train
1_7593,"Amy, I can't just ask Wil Wheaton to leave. He's a minor celebrity. Once you explain who he is, many people recognize him.","What do you think? Can I speak to you for a second? I'll be right back. Feel free to play with yourself. I don't care for your friend, he's being rude to me. You need to ask him to leave.",SHELDON,BBT,0,train
2_173,We- we had our first fight this morning.,Do you always have to bring him here? I didn't wanna leave him alone. Alright?,ROSS,FRIENDS,0,train
2_555,Hey! It's starting to snow.,No! You let go! How come it's always us left in the field holding the ball? I don't know. I guess the other people just don't care enough.,ROSS,FRIENDS,0,train
2_222,"The little man who lives in there, who turns the light on and off will tell you.",How would I know if they fog up?,DOROTHY,GOLDENGIRLS,1,train
1_11529,"And how difficult it is to do when she's bloated, cranky and crampy?","What exactly do you think goes on here? Well...
conversations that you wouldn't be comfortable having in front of the opposite sex. You know, who has the best cervix. Which sanitary napkin is all the rage right now. Men's buttocks, and how you want to pat and squeeze them. We were talking about Penny's job.",SHELDON,BBT,0,train
1_4603,Is it possible that she was going for your cheek and you moved and she accidentally got lip? That happens with me and my mom all the time.,"to bring us all with you to the year 7010 where we are transported to work at the thinkatorium by telepathically controlled flying dolphins? No, Penny kissed me.",HOWARD,BBT,0,train
2_206,A tshirt that says - I don't belong here.,"Hey guys, what should I wear to a Nick's game?",CHANDLER,FRIENDS,1,train
2_271,Sarcasm? Noo.,"Sorry, was that sarcasm?",MODERATOR,SARCASMOHOLICS,1,train
1_5166,"Yeah, it's a great time to be alive, isn't it?","but the driver didn't look at all like the photograph on his license, so I leapt out and ran for it. Wise. There you go. Just like recovering alcoholics drink in the Caribbean. Hi, bestie. Oh. Hi, Amy. How you been? Fine. From this angle, I can see up your nose.",PENNY,BBT,1,train
1_1931,Why don't you just lie down on the floor and swim there?,Where are we going? You're driving me to the mall. I'm going to acquire a book that summarizes the current theories in the field of friend-making.,LEONARD,BBT,1,train
1_11055,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.","A gallant man would defend his fiance for being called a urethra. Can we please change the subject? Well, that didn't go your way. Dr. Lorvis, what are you doing here? Uh, well, actually I came to see you. Really? Why?",LEONARD,BBT,1,train
1_4760,"In the bedrooms of ten-year- old girls, where they belong.","Wow, this place is awesome. Where do they keep the Archies?",SHELDON,BBT,1,train
1_8746,"I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me <i>Raiders of the Lost Ark</i> for the first time.","So what'd you think? It was good. That's it? ""Good""?",AMY,BBT,1,train
2_474,Lovely,No. How long have we been home? About a half an hour.,CHANDLER,FRIENDS,1,train
1_3837,"Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.","Oh, there it is: now that you don't have a girlfriend, you want to hang out with me again. I never stopped hanging out with you. Oh, please, we all know I'm the friend you call when you have no other options. If we were the Justice League, I'd be Aquaman. I wish you were Aquaman. Then I could send you to scoop my mom out of the old lady tank.",SHELDON,BBT,0,train
2_504,"All right, okay, well, apparently not!","So you like the drums! That's, that's great! Y'know, I was worried, that, you know, they would maybe an unbearable living situation.",PHOEBE,FRIENDS,1,train
1_11046,"Wow, he really went where no man has gone before.","Red Zinger with one teaspoon of honey. Thank you.
Neat<i> Star Trek</i> mug. I actually have one of the phasers from the original TV show. Oh, cool.
How'd you get that? Oh, easy, Gene Roddenberry needed a vasectomy. Wait a minute.
You've snipped Gene Roddenberry's vas deferens? Yes.",HOWARD,BBT,0,train
2_588,I talk to you and nothin'.,"Well, why don't you tell me what you're supposed to be! Huh? Because I sure as hell can't figure it out!",JOEY,FRIENDS,0,train
2_390,"No, I am depressed becaues Phillis George left the morning news.",Are you depressed about Glen?,DOROTHY,GOLDENGIRLS,1,train
2_375,I was thkinking about maybe going into the Robot.,"Hey, you haven't been practising the routine have you? No!",ROSS,FRIENDS,0,train
2_245,"Well ah, I've been doing a lot of thinking, and I look at my life","Ooh, nice. So ah, there was this thing I wanted to talk to you about. Oh, right! I completely forgot about that.",PERSON,FRIENDS,0,train
2_7,I've never loved anybody as much as I love you.,You roll another hard eight and we get married here tonight. Are you serious?! Yes! I love you!,MONICA,FRIENDS,0,train
1_11242,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.","I was not panicked, and I am not overly attached to Leonard. You were so worried that you smashed your face trying to check on me.
You love me. Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain. Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",BERNADETTE,BBT,1,train
1_7442,"The original title was ""A Rederivation of Maxwell's Equations Regarding Electromagnetism"""" I dumbed it down because some of the more religious people in town were starting to say I was a witch.","This will interest you. And, Penny, feel free to paint your nails. What do you got? I believe Alex may have unearthed the grade school science project that could be my ticket to the Nobel Prize. Behold. ""Magnets: What Do They Stick To?"" If the answer is ""metal,"" it's not exactly groundbreaking.",SHELDON,BBT,0,train
2_155,Great! Now we can do laundry all night. All night laundry!,"Actually, I was gonna do some laundry. Chandler, do you wanna do it with me? Sure I will do it with you You don't mind do you, that would really help me a lot Thanks. I don't think I have enough quarters I have quarters!",CHANDLER,FRIENDS,1,train
2_152,Your makeup?,"Are you referring to my man's bag? At first it I thought it just look good. But its practical too, check it out! Its got compartments for all your stuff. Your wallet, your key, your addressbook.",ROSS,FRIENDS,1,train
2_607,Hey.,"Okay. Listen uh, could you put Kathy on, I wanna apologize. Oh yeah man.  Joey.",PERSON,FRIENDS,0,train
2_36,"The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzle,beer! Cold beer.","Okay, well Ross, what is this really about? Look, this is my home and I want to be able to come and go whenever I want! Okay, I will find someplace else to do the rest of my appointments. I just don't know what the big deal is!",ROSS,FRIENDS,0,train
2_188,You had no relationship!!,"I just saw Danny getting on the subway with a girl and he had his arm around her. Oh, honey, I'm sorry. Well, you should be, this is all your fault! You meddled in our relationship!!",MONICA,FRIENDS,0,train
1_1666,Would it work if I just punched you in the face?,"it will establish you as the ""alpha"" male. You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin. If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."" Huh",LEONARD,BBT,0,train
2_448,Do you still wanna call  'em? I wanna call  'em.,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake. Y'know who has a great video camera? Greg and Jenny?,MONICA,FRIENDS,0,train
1_1189,"I'm sorry, I am not going back to the Renaissance fair.","That's enough. Call me. Right. Okay, good night. What? Had a great time. Ciao.",SHELDON,BBT,0,train
1_10009,"Let the dead man talk. So, why do you think that?","FYI, we plan on selling out the human race hard. In 20 years, who knows what'll happen with any of us? I think you and Leonard will be together. You do? Yeah.
I think you're the best couple I know. That's so sweet. What the hell?! Excuse me? Ah-da-da-da-da!",PENNY,BBT,0,train
2_408,"Okay, but if you are not coming back soon, there is pretty much nothing I can do about it","Saucy. I'll be back in two minutes. You are going to leave me like this Knowing you are here, waiting for me, it is kind of exciting isn't it?",CHANDLER,FRIENDS,1,train
2_609,I just called a friend of mine.,"I know. I know. I panicked, I panicked. I didn't want him to start yelling at me like I was some '74 Latour. It's Lafite. The '74 Latour is actually drinking quite nicely. All right here he comes. I'm gonna do this, I'm gonna tell him, I'm gonna be strong.",PERSON,FRIENDS,0,train
2_209,Really?,"He doesn't need to be sarcastic. I mean, that was sarcasm wasn't it?",MEMBER-GIRL,SARCASMOHOLICS,1,train
1_162,"Sheldon, if you were a robot, and I knew and you didn't...","On the other hand, no arousal. None? None. Thank you for your time. Thank you. None at all?",HOWARD,BBT,0,train
1_4639,"Well, I'm just glad you finally found yourself a keeper.","and pump it into his mom's Camry. Yeah, that's great. It's a funny story. Moving on. And Donnie was a rocket scientist compared to that boy who wanted to get beer pong into the olympics. What was his name, sweetheart? Curtis, and I'm pretty sure he was joking. I don't know. That petition looked real to me. Yeah, okay, I think this ends the ex-boyfriend portion of our evening.",PERSON,BBT,0,train
1_10190,"Well, now that I've given up string theory, I'm struggling to find my next area of focus. So, in your professional opinion, which of these areas do you think is the most promising?","it's important to the story that my boobs be the last things to turn ape. It's sweet that he thinks there's a story. Oh, and there's not even a bathroom on set.
I have to go to the gas station across the street. I mean, I was dressed like half an ape and still not even close to the most disgusting person in there. Leonard, I could use your assistance. Sure. What's up?",SHELDON,BBT,0,train
2_541,Oh yeah right. And what would my opening line be? Excuse me,Go over to her. She's not with anyone.,CHANDLER,FRIENDS,1,train
2_485,You got off to a really good start with the group.,"It was being sarcastic, alright I see I see I didn't realise the sarcasm was going to be so full on. I ll just stand back and start again Oh, we wouldn't bother.",MEMBER-BOY,SARCASMOHOLICS,1,train
2_162,"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp.","No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie. Well, Jamie was the name of Susan's first girlfriend, so we went back to Jordie. What? Whoa, whoa whoa whoa, what do you mean,",PERSON,FRIENDS,0,train
1_3649,"Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house.","Hi. I'm Penny. This is my friend, Sheldon. We're not friends at the moment. Depends on how this goes. Right, right. Anyway, Sheldon here is a huge fan of yours, and he was supposed to meet you the other day at the comic book store, but he kind of ended up in jail. I see. And you thought you'd just come over to my house uninvited? You said we were invited.",PENNY,BBT,0,train
1_182,No. The dark crescent-shaped patterns under your arms conceal it nicely.,How do I look? Could you be more specific? Can you tell I'm perspiring a little?,SHELDON,BBT,1,train
1_5496,"Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.","That bitch is crafty. You think? Of course. How does the cheetah attack a herd of wildebeests? By going after its weakest member. Well, what makes me the weakest member? Your trusting nature coupled with your teeny-tiny body. You wouldn't last a minute on the Serengeti.",PENNY,BBT,1,train
1_8045,"Dumped her? What, did he use a forklift?","to rebrand the stuff as a cure for constipation. Way to make lemonade.
You know, from around the corner where fudge is made. Hey, I got a favor to ask. Sure. My mom's been kind of an emotional wreck since that dentist she was dating dumped her.",RAJ,BBT,1,train
2_410,If you wanna put a label on it.,"That's funny. Who are they? The blond woman is my ex-wife, and the woman touching her is her... close, personal friend. You mean they're lovers.",ROSS,FRIENDS,1,train
2_55,"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.","I'm really glad Monica asked us out. I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch. You're sister? You're sister's asleep on the couch? Ohhh! I saw",PERSON,FRIENDS,0,train
2_526,"Ah well, this is the living room.","Really?! Well, it's just like everyone else's apartment. It's got rooms, walls, and ceilings. Well, I just wanted to see where you lived. Now, give me the tour. Oh my God! Oh my God!",PERSON1,FRIENDS,0,train
2_247,Uh yes! Thank you.,"We're not gonna do that. Well, if you like you can feel Rachel's and then feel mine to compare. Am I interrupting?",ROSS,FRIENDS,1,train
2_340,Oh! Oop!,"It's the big night! We wanted to wish you good luck! Yeah, yeah you have the ring? Yeah, right here in my pocket. Pheebs?",PHOEBE,FRIENDS,0,train
1_4949,"Certainly. I'd like to raise two points. Number one, I think they <i>are</i> talking about penises. And number two, these mimosas are kicking my little brown ass.","Who could get <i>all</i> the giant missiles she wants. Are we talking about women wanting penises? Because I'd like to weigh in. Dr. Koothrappali, would you care to join the conversation?",RAJ,BBT,0,train
1_7443,We've kind of been involved in a five-year experiment.,"in town were starting to say I was a witch. Sheldon thinks the approach in this paper might change the way we calculate ferromagnetic hysteresis. Oh, it's about time. I hated the old way. Hi. I'm Penny. Alex.
Uh, do you work with Dr. Hofstadter? In a way.",PENNY,BBT,0,train
